Supplier,Invoice Number,Invoice Date,Due Date,Account Number,Bill To,Item #,Product Code,Item Description,Qty,Unit,Unit Rate (£),VAT %,VAT Amount (£),Line Total (£)
We Can Source It Ltd,NEWWEB-136148-2026,02/03/2026,02/03/2026,Order No: 172459,Akhil Rajesh - 192 City Road Cardiff CF24 3JF,1,,No.4 Kraft Food Takeaway Box – 180 BOXES,1,Case,33.75,20.00,6.75,40.50
We Can Source It Ltd,NEWWEB-136148-2026,02/03/2026,02/03/2026,Order No: 172459,Akhil Rajesh - 192 City Road Cardiff CF24 3JF,2,,Next Day Shipping,1,,7.50,0.00,0.00,7.50
We Can Source It Ltd,NEWWEB-136148-2026,02/03/2026,02/03/2026,Order No: 172459,Akhil Rajesh - 192 City Road Cardiff CF24 3JF,INVOICE TOTAL,,Subtotal £40.50 | Shipping £7.50 | VAT £6.75 | Total £48.00,,,,,6.75,48.00
The VoIP Shop (Transifr Ltd),26021200408781,01/02/2026,20/02/2026,VS1001456 / S002244,Choco Berry Cardiff - 205 City Road Cardiff CF24 3JD,1,S0GEA 80/20,Line Rental,3,,5.95,20.00,,
The VoIP Shop (Transifr Ltd),26021200408781,01/02/2026,20/02/2026,VS1001456 / S002244,Choco Berry Cardiff - 205 City Road Cardiff CF24 3JD,2,S0GEA 80/20,Connectivity,3,,40.99,20.00,,
The VoIP Shop (Transifr Ltd),26021200408781,01/02/2026,20/02/2026,VS1001456 / S002244,Choco Berry Cardiff - 205 City Road Cardiff CF24 3JD,3,,Static IP Address,1,,3.95,20.00,,
The VoIP Shop (Transifr Ltd),26021200408781,01/02/2026,20/02/2026,VS1001456 / S002244,Choco Berry Cardiff - 205 City Road Cardiff CF24 3JD,INVOICE TOTAL,,Sub Total £44.94 | VAT £8.99 | Invoice Total £53.93,,,,,8.99,53.93
Source Catering UK Ltd,SC-1182,04/03/2026,04/03/2026,379634251,Chocoberry Cardiff Ltd - 205 City Rd Cardiff CF24 3JD,1,,B Grade Pitco 35C Gas Fryer (1 year parts & labour warranty),1,pcs,950.00,20.00,190.00,1140.00
Source Catering UK Ltd,SC-1182,04/03/2026,04/03/2026,379634251,Chocoberry Cardiff Ltd - 205 City Rd Cardiff CF24 3JD,INVOICE TOTAL,,Subtotal £950.00 | VAT 20% £190.00 | Total Due £1140.00,,,,,190.00,1140.00
rijo42 Ingredients Ltd,181673,10/03/2026,09/04/2026,42039 / Order 202558,Chocoberry Cardiff 1 Limited - 199-204 City Road Cardiff CF24 3JD,1,RRB,rijo 42 Red Beans 1Kg RRB,6,Each,21.92,0.00,0.00,131.52
rijo42 Ingredients Ltd,181673,10/03/2026,09/04/2026,42039 / Order 202558,Chocoberry Cardiff 1 Limited - 199-204 City Road Cardiff CF24 3JD,2,RSM,rijo Skimmed Milk (500g),10,Each,6.64,0.00,0.00,66.40
rijo42 Ingredients Ltd,181673,10/03/2026,09/04/2026,42039 / Order 202558,Chocoberry Cardiff 1 Limited - 199-204 City Road Cardiff CF24 3JD,3,,Delivery / Postage & Packaging,1,Each,7.99,20.00,1.60,7.99
rijo42 Ingredients Ltd,181673,10/03/2026,09/04/2026,42039 / Order 202558,Chocoberry Cardiff 1 Limited - 199-204 City Road Cardiff CF24 3JD,INVOICE TOTAL,,Total Goods £205.91 | VAT £1.60 | Total Value GBP £207.51 | Due By 09/04/2026,,,,,1.60,207.51
Premier Vanguard Ltd (Premvan),SINV00846141,18/03/2026,30/04/2026,CHO048 / SORD00912635,CHOCOBERRY CARDIFF 1 LTD T/A Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,1,THM805012,Thermal Rolls 80mm x 50mm x 12mm – 20 (MUST BE 80X05!!!!!),5,Pack,10.50,20.00,10.50,52.50
Premier Vanguard Ltd (Premvan),SINV00846141,18/03/2026,30/04/2026,CHO048 / SORD00912635,CHOCOBERRY CARDIFF 1 LTD T/A Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,INVOICE TOTAL,,Total Goods £52.50 | VAT £10.50 | Total Inc. VAT £63.00,,,,,10.50,63.00
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,1,,Electricity Charges (01/02/2026 – 28/02/2026),1,,528.80,20.00,,
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,2,,Climate Change Levy (CCL),1,,10.57,0.00,0.00,10.57
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,INVOICE TOTAL,,Electricity £528.80 | CCL £10.57 | Subtotal £539.37 | VAT 20% £107.07 | Total £646.44 | Site: 205 City Rd Cardiff CF24 3JD | MPAN: 03 0393 N13 21 0004 1771 984,,,,,107.07,646.44
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,3,E14ML16012,Standing Charge – 28 days @ 364.4210p/day,28,days,3.6442,20.00,20.41,122.45
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,4,E14ML16012,Day Unit Rate – 1363.90 kWh @ 30.0160p/kWh,1363.90,kWh,0.3002,20.00,81.88,491.27
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,5,E14ML16012,Nuclear RAB Levy – 2671.70 kWh @ 0.5000p/kWh,2671.70,kWh,0.005,0.00,2.67,16.03
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,6,E14ML16012,Network Charging Compensation – 2671.70 kWh @ 0.1500p/kWh,2671.70,kWh,0.0015,0.00,0.00,4.01
Pozitive Energy (pe),26977120269928994,04/03/2026,14/03/2026,269771,Chocoberry Cardiff 1 Limited - 175 Chepstow Road Newport NP19 8GH,7,E14ML16012,Climate Change Levy – 1363.90 kWh @ 0.77500p/kWh,1363.90,kWh,0.00775,0.00,2.11,12.68
Next Day Coffee (NDCC Ltd),859125,01/12/2025,,,Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,1,SUBR001,Tate & Lyle Brown Sugar Sticks 1000x2.5g,2,Each,7.49,0.00,0.00,14.98
