Rank,Category,Sales (£),Items Sold
1,CHOCOBERRY SPECIALS,24925.03,3099
2,SHAKES,19271.36,3066
3,DUBAI'S VIRAL RANGE,18865.50,1859
4,ROUND WAFFLES,17789.36,2208
5,COOKIE DOUGH,17377.67,2192
6,MILK CAKES,13775.52,1816
7,KANAFEH,12966.92,1434
8,FRENCH CREPES,9908.29,1343
9,CAKES & TREATS,8566.62,1204
10,CHOCOLATE STRAWBERRIES,7614.95,976
11,BIG BREAKFAST,6096.09,713
12,BOWLS,6048.98,641
13,CHEESECAKES,4581.70,630
14,FALOODA,4115.70,666
15,VIRAL BANANA PUDDING,3952.71,723
16,MOJITOS,3922.21,704
17,SUNDAE,3875.77,523
18,DUBAI'S VIRAL DESSERTS,3357.89,330
19,FRENCH TOAST,3259.97,372
20,HOT DRINKS,3072.29,1225
21,VIRAL DESSERTS,2876.20,271
22,ICED LATTES,2794.11,498
23,PASTA,2532.39,290
24,OPEN ITEMS,2463.00,1079
25,BURGERS,2339.94,291
26,OTHER,2109.93,256
27,MATCHA RANGE,1999.69,389
28,SPANISH CHURROS,1999.42,354
29,SOFT DRINKS,1925.37,1536
30,CAKES,1869.95,249
31,ADD ON DESSERTS,1851.11,1033
32,ICE-CREAM,1846.62,456
33,VIRAL SAN SEBASTIAN CHEESECAKE,1689.49,188
34,DIPPED STRAWBERRIES,1654.91,217
35,DELIGHT BITES,1164.50,218
36,MOJITO & FRUIT COOLER'S,961.87,170
37,SOFT SWIRLS,707.85,160
38,RAMADHAN DRINKS,701.64,244
39,COFFEE & HOT CHOCOLATE,539.41,167
40,ICE CREAMS,532.91,120
41,COLD DRINKS,517.58,415
42,RAMADHAN OFFERS,506.02,47
43,KARAK CHAI & TEAS,494.38,195
44,CHURROS,448.13,81
45,ICE COOLERS,392.69,71
46,VIRAL CAT CAKE,375.57,30
47,ICED COFFEE,341.88,61
48,SPECIALITTY LATTES,140.65,41
49,EXQUISITE EGGS,130.00,14
50,SWIRLS,121.34,27
51,FRENCH MACARONS,71.12,10
52,FESTIVE MENU [LIMITED],70.73,13
