,Item,Sales,Items sold
1,1 extra sausage,2.00,1
2,Strawberries in milkshake and syrup,0.75,1
3,Swap chips for masala chips,1.00,1
4,Extra hasbrown,1.50,1
5,Ex white choc sauce forbchurros on the side,1.00,1
6,Extra hashbrown,1.50,1
7,Extra nutella on crepe,1.50,1
8,Bhai,0.50,1
9,Cd,2.00,1
10,White choc,1.00,1
11,Add milk choc,0.50,1
12,Pist a cheesecake,7.00,1
13,Kinder sauce on the cookie dough,1.00,1
14,Pistachio cheesecske,7.00,1
15,Big whippy,3.00,1
16,Pistachio soanish katte hot,4.00,1
17,Grilled,2.00,1
18,2 whippie s,3.00,1
19,Date box,9.95,1
20,Extra katafi,2.00,1
