,Item,Items sold
1,None,"7,845"
2,Whipped Cream,"3,458"
3,Vanilla Ice Cream,"3,019"
4,Full,"1,700"
5,Belgian Milk Chocolate,"1,460"
6,No Topping,"1,383"
7,Nutella,"1,285"
8,Strawberries,"1,252"
9,No Whipped Cream,"1,250"
10,Belgian White Chocolate,"1,137"
11,Still Water,"1,049"
12,Kinder,"1,021"
13,Regular,578
14,Custard,560
15,Half,540
16,Oreo,536
17,Ice Cream,428
18,Chicken,397
19,Lotus Sauce,373
20,Strawberry,365
21,Kinder Bueno (Milk),316
22,Kinder Bueno (White),316
23,Oreo Dust,311
24,Lotus biscoff,305
25,Rubicon Mango,281
26,Ferrero Rocher,260
27,Swiss Chocolate,250
28,Pistachio Dust,238
29,Oreo & Ferrero,212
30,Pistachio Sauce,210
31,Vanilla,206
32,Vanilla Dream,205
33,Lotus Biscoff Dust,183
34,Milk Chocolate,178
35,Banana,169
36,Mixed Nuts,168
37,Beef,134
38,Rubicon Passion Fruit,127
39,Extra Strawberries,122
40,Mango,110
41,Strawberry Cheesecake,103
42,Chocolate,96
43,Brownie Delight,93
44,Caramel,91
45,J20 Orange & Passion,89
46,Snickers,85
47,J20 Apple & Raspberry,83
48,Veg,82
49,Aero Mint,81
50,Mint Chocolate,77
51,Spanish Latte (Hot),73
52,Caramelita,67
53,Rubicon Guava,64
54,Movenpick Vanilla Dream,57
55,Extra Fudge Brownies,57
56,Large,54
57,J20 Apple & Mango,53
58,Crunchie,52
59,Bubblegum,51
60,Movenpick Swiss Chocolate,50
61,Add Chicken,40
62,"1 Banana pudding, 1 Tiramisu and 1 Pistachio milk cake.",40
63,Cookie & Cream,38
64,Pistachio,35
65,Milk Chocolate Shot 4oz,35
66,Cookies & Cream,34
67,Caramel Syrup,34
68,Pistachio Latte (Hot),30
69,Hazelnut,30
70,Soya Milk,29
71,Pistachio Nuts,29
72,Oat Milk,25
73,Mini Egg,25
74,Extra Oreo,24
75,Seasoned Chips,23
76,White Chocolate,23
77,Masala Chips,23
78,Vanilla Syrup,23
79,Extra Banana,22
80,Movenpick Strawberry,22
81,Luna Latte,20
82,Terry Chocolate Orange,13
83,Chocolate Indulgence,13
84,White Chocolate Shot 4oz,13
85,Red Velvet Latte,12
86,Sausage (2 pcs),12
87,Kinder Shot 4oz,12
88,Nutella Shot (4oz),11
89,Kit Kat,11
90,Hazelnut Syrup,9
91,Toast (2pcs),9
92,Pratha (2),8
93,Hash Browns (2pcs),8
94,Pistachio Sauce (4oz),6
95,Scrambled Eggs,6
96,Baked Beans,6
97,Kulfi,5
98,16 Pcs,5
99,Irn Bru,4
100,Orange Juice (Tropicana 12oz),3
101,Masala Beans,3
102,Extra Mixed Nuts,3
103,Guacomole,3
104,Butter Chicken,3
105,Fried Eggs,3
106,Sparkling Water,2
107,Plain Chips,2
108,4 Pcs,2
109,Coffee,2
110,Yes,1
