,Item,Items sold,Sales
1,Chocobar Shakes,"2,507","15,348.82"
2,Waffle Bites,"2,478","19,641.34"
3,Kanafeh Strawberry Cup,"1,331","13,875.17"
4,Water & Juices,"1,210","1,014.47"
5,Chocolate Chip Cookie Dough,"1,155","8,804.99"
6,Chocopuffs,"1,039","8,740.04"
7,Premium Shakes,"1,018","6,842.53"
8,Lotus Biscoff Milk Cake,864,"6,599.41"
9,Strawberry Dream Waffle,823,"6,427.44"
10,Banana Pudding,820,"4,523.33"
11,Karak Chai,710,"1,797.38"
12,Strawberry Passion Crepe,677,"4,956.28"
13,Whippy,592,859.98
14,Belgian Milk Chocolate (6 Pcs),519,"3,772.83"
15,Can Drinks,499,656.93
16,Luxury Fudge Cake,469,"3,460.17"
17,Whipped Cream (4oz),467,701.70
18,White Chocolate & Pistachio Kanafeh,462,"4,026.11"
19,Pistachio Milk Cake,455,"3,328.76"
20,1 Scoop Ice Cream,454,"1,398.21"
21,Belgian Chocolate Kanafeh,432,"3,919.44"
22,Strawberry Mojito,396,"2,221.26"
23,Orignal Churros,393,"2,183.15"
24,Fruitella Waffle,369,"2,961.89"
25,Chocolate Dream Cake,358,"3,026.10"
26,Kulfi Falooda,350,"2,167.74"
27,The Original Kanafeh,317,"2,837.76"
28,Original Milk Cake,308,"2,393.04"
29,Pistachio Kanafeh Dream Cake,305,"3,196.28"
30,Lava Cake,301,"2,359.43"
31,Iced Spanish Latte,299,"1,798.53"
32,Tiramisu,284,"1,472.17"
33,Nutella Classic Crepe,283,"2,086.82"
34,Lazy Cat Cake,277,"3,536.21"
35,Assorted Strawberries (6 Pcs),274,"2,263.30"
36,Mango Falooda,272,"1,678.24"
37,Royal Ferrero Cookie Dough,265,"2,224.95"
38,Salaam Cola,262,449.72
39,Iced Vanilla Oat Matcha,262,"1,354.87"
40,Hot Chocolate,259,869.28
41,Crunchie Chicken Burger,254,"1,992.84"
42,Lotus Biscoff Cookie Dough,253,"2,089.15"
43,Bottle Drinks,253,646.76
44,Creamy White Pasta,251,"2,180.72"
45,Grilled Chicken Bagel,240,"2,112.30"
46,Sesame Noodles,236,"2,062.46"
47,Classic English Breakfast,235,"2,020.91"
48,Nutella Loaded Kanafeh,235,"2,128.20"
49,Chocolate Explosion Waffle,233,"2,307.71"
50,Chocolate Surprise Cookie Dough,231,"1,897.02"
51,Oreo & Cream Milk Cake,226,"1,741.84"
52,Nutella Brownie French Toast,224,"1,970.25"
53,Oreo-Tella Cookie Dough,216,"1,782.69"
54,Oreo Overload Waffle,216,"1,667.94"
55,White Choc & Strawberry Waffle,211,"1,685.23"
56,White Chocolate Chip Cookie Dough,210,"1,729.68"
57,Chocorocher Waffle,210,"1,665.16"
58,Extra Chocolate,208,176.22
59,Chocolate Strawberry Cup (12oz),203,"1,750.95"
60,Lemon Mojito,201,"1,093.92"
61,Lotus Biscoff Cheesecake,194,"1,415.46"
62,Nutella Milk Cake,192,"1,496.15"
63,Passion Fruit Mojito,192,"1,076.01"
64,Fudge Brownie Sundae,183,"1,332.09"
65,2 Scoops Ice Cream,180,"1,014.78"
66,Dubai's Kanafeh Chocolate Bar (SMALL),176,"1,798.60"
67,Iced Latte,172,870.01
68,Fresh Indulgence Crepe,172,"1,304.99"
69,Hot Fudge Brownie,171,"1,034.61"
70,Rose Falooda,169,"1,040.47"
71,Blue Hawaiian Mojito,168,941.02
72,Apple Crumble,168,"1,334.55"
73,Ferrero Rocher Cheesecake,166,"1,218.61"
74,San Sebastian Cheesecake (Milk Chocolate),166,"1,491.76"
75,Speciality Lattes,163,0.00
76,Crunch Cake,162,"2,001.19"
77,South Asian Breakfast,159,"1,351.37"
78,Whippy Vanilla Ice Cream (8oz),154,491.95
79,Fire Cracker Chicken Bowl,144,"1,461.70"
80,Latte,137,431.31
81,Karak  Chai,135,251.89
82,Lotus Biscoff Waffle,134,"1,028.84"
83,Strawberry Shortbread Sundae,133,985.61
84,Chocoberry Waffle,131,"1,060.42"
85,Lotus Biscoff French Toast,125,"1,084.38"
86,Strawberry Cheesecake,124,902.16
87,Kanafeh Crepe,121,906.29
88,Burger Bowl,120,"1,032.62"
89,Milk Chocolate Lindt Cheesecake,117,850.82
90,Oreo Blossom Crepe,117,850.08
91,Raspberry Kiss Cookie Dough,116,993.78
92,Crispy Chicken Mountain Bowl,116,"1,016.80"
93,Iced Strawberry Matcha,115,594.84
94,Sticky Toffee Pudding,112,906.35
95,Chopped Strawberries (4oz),108,299.84
96,Masala Chips,106,465.86
97,Oreo Cheesecake,106,764.82
98,Chocoberry Special Kanafeh,106,"1,142.23"
99,Kanafeh Cookie Dough,105,973.51
100,English Tea,104,260.50
101,Kinder Chocolate Dipped Strawberries (6 Pcs),104,764.12
102,Banana Delight Waffle,102,801.01
103,Cappuccino,101,321.73
104,Nutella Chocolate (6 Pcs),98,824.80
105,Pomegranate Mojito,97,558.18
106,Belgian White Chocolate (6 Pcs),94,672.66
107,Royal Ferrero Sundae,94,695.84
108,Extras,93,6.50
109,Chicken Steak,92,"1,117.43"
110,Mint Tea,91,228.93
111,Raspberry & Pistachio French Toast,86,752.96
112,Luscious Lotus Crepe,85,618.47
113,Cornflake Tart,83,647.85
114,Jam & Coconut Sponge Cake,83,604.73
115,Iced Mango Matcha,81,404.59
116,Chocolate Pudding,75,623.89
117,Seasoned Chips,74,263.38
118,Lotus Biscoff Kanafeh,72,626.38
119,Pistachio Knafeh Swirl,72,325.88
120,Oreo Heaven Sundae,72,531.68
121,MangoMe Sundae,72,530.24
122,Momos (Dumplings),71,613.00
123,Penne Arrabiata,71,640.12
124,Cookies & Cream Churros,70,419.22
125,Chicken Egg Paratha Roll,70,571.11
126,3 Scoops Ice Cream,69,475.29
127,Hazel Nutter Crepe,68,516.25
128,Melty Egg Muffin Breakfast,67,482.05
129,Small Chocolate Shot,61,80.80
130,Banoffee Crepe,57,428.54
131,Raspberry Temptation Crepe,57,430.18
132,Raspberry Sensation Waffle,56,451.47
133,Mexican Chicken Grilled Burger,55,478.44
134,Hot Custard (8oz),53,135.74
135,Iced Pistachio Latte,52,310.89
136,Peach Frozen,52,281.50
137,Americano (Black),51,150.08
138,Chocoberry Swirl,49,217.29
139,Strawberry & Pistachio,46,269.65
140,Iced Mocha,45,228.78
141,Cookie Crumb Swirl,43,188.45
142,Kanafeh Brownie,43,365.24
143,One-Pot Skillet Breakfast,41,360.85
144,Iced Chocolate,40,213.31
145,Dessert Share Box,40,478.00
146,Flat White,38,120.84
147,Mango & Passion Breeze,37,207.30
148,Shakshuka Breakfast,36,323.42
149,Mocha,36,114.19
150,White Hot Chocolate,35,120.57
151,Add Extra Fruit,35,29.16
152,Blue Hawaiian Mocktail,35,144.20
153,Green Tea,34,84.39
154,San Sebastian Cheesecake (Pistachio Sauce),33,296.18
155,Iced Spanish  Latte,30,135.00
156,Strawberry Cup,29,236.80
157,Iced Strawberry  Matcha,29,108.75
158,Golden Bicoffee Swirl,27,116.98
159,San Sebastian Cheesecake (White chocolate),26,229.47
160,Caramel Crush Sundae,25,193.70
161,French Macaroons,25,186.39
162,Double Espresso,24,60.50
163,Test,24,0.27
164,Millions Sundae,21,163.08
165,Large Chocolate Shot,19,70.25
166,Heritage Angus Beef Burger,19,172.34
167,Spanish Latte,19,64.17
168,Choco Crunch Swirl,18,78.80
169,Dubai's Kanafeh Chocolate Bar (LARGE),17,249.38
170,Pomegranate Mocktail,15,61.80
171,Pistachio Latte (Hot),12,42.12
172,Pistachio cheesecake,11,78.00
173,Iced Luna Latte,10,53.27
174,Whipped cream,10,12.00
175,Iced Red Velvet Latte,9,50.20
176,Mi-Su Swirl,9,41.00
177,Egg Avocado Croissant,8,70.00
178,Spanish Latte (Hot),8,32.60
179,Luna Latte,8,28.65
180,Big Bang Breakfast,8,78.10
181,Mini Marshamallow Halal (4oz),7,19.29
182,Whipy,7,10.00
183,Redbull,7,24.50
184,Chocolate Date Gift Box,7,28.02
185,Large,6,7.00
186,White Hot  Chocolate,6,25.94
187,Sausage,6,7.50
188,Sticky Toffee  Pudding,6,41.25
189,Icecream,6,21.50
190,Pista cheesecake,5,37.00
191,Breakfast Bowl,5,60.00
192,Chicken Parmeason,5,41.24
193,Whippy icecream,5,6.00
194,Large spanish latte hot,5,24.80
195,Karak Large,5,20.00
196,Veggie Burger,5,34.14
197,Extra milk,5,3.00
198,Espresso,4,7.50
199,Extra,4,9.50
200,T,4,1.00
201,Cream,4,2.00
202,Classic French Omelette,4,40.00
203,Extra chicken,4,13.00
204,Snickers,3,4.00
205,Pistachio cheesecaje,3,19.50
206,Red Velvet Latte,3,10.66
207,W,3,2.50
208,Large Chai,3,12.00
209,2 whippies,3,6.00
210,Strawberry,3,10.00
211,Large Karak,3,12.00
212,Banana pudding,3,16.50
213,Add banana,3,3.00
214,Banana on cookie dough,3,2.00
215,Large karak,3,5.25
216,The Mediterranean Breakfast,3,33.60
217,Karak Chai Large,3,12.00
218,Oreo in the shake,3,3.00
219,Tiramisu cheesecake,2,13.00
220,Whippped cream,2,3.00
221,Spanish Latte Large,2,9.90
222,Extra whippy,2,2.50
223,C,2,0.02
224,Red bull,2,5.00
225,Big whippy,2,5.25
226,Grilled veggies on toast,2,15.00
227,Waffle,2,6.50
228,Qwhippy,2,3.00
229,Custards,2,3.00
230,Karak chai large,2,8.00
231,Greek Omelette,2,20.00
232,Pista,2,9.00
233,Oreo,2,0.75
234,Large Karak Chai,2,8.00
235,N,2,1.00
236,Large karak chai,2,10.00
237,D,2,2.01
238,Milk,2,2.00
239,Whippy large,2,6.00
240,Ex mango for shake,2,2.00
241,Strawberries,2,4.50
242,Hot milk,2,6.00
243,Add nutella,2,1.00
244,Whipppy,2,3.00
245,Wippy,2,2.50
246,Extra Protein,2,10.00
247,Ex white sauce,1,1.00
248,Tbytbhtyb,1,0.50
249,Ex white choc sauce on the wafflen,1,1.00
250,Hazelnut,1,0.50
251,Ex choc sauce on the kunafeh,1,1.00
252,Pistachio sauce,1,1.00
253,Lzrge karsk,1,2.00
254,2 Caramel frappe,1,10.00
255,Extra strawberries,1,0.75
256,Upgrade to Large,1,2.00
257,Strawberries on vqnlla scoop ice cream,1,0.50
258,Macatoons,1,7.00
259,Extra caramel,1,0.50
260,Iced spanish katte with oat,1,4.00
261,3 caramel frappe,1,15.00
262,Kinder sauce on the cookie dough,1,1.00
263,.75,1,0.69
264,Pistqchio swurk,1,3.15
265,2 tiramisu,1,13.00
266,San sebastian with milk choc,1,8.50
267,Mixed nuts,1,1.00
268,Gingerbread Latte,1,3.54
269,Full fruitella,1,1.00
270,Masala beans for both pls,1,1.00
271,O,1,14.50
272,Strawberries chopped,1,2.00
273,Ex white choc sauce for the crepe,1,1.00
274,Espresso shot,1,1.50
275,Shake,1,0.50
276,Chocoberry swirks,1,4.50
277,Hg,1,1.00
278,White choc on thewaffle,1,1.00
279,Extra milk and pista for cup,1,2.00
280,Oreo n ferrero shake,1,6.00
281,2 Whippy with kunafe,1,3.00
282,Kinder pieces,1,1.00
283,Strawberry on matcha,1,0.50
284,Kara L,1,1.00
285,6,1,6.00
286,Add pista,1,0.50
287,Ex choc sauce on dough,1,1.00
288,Ex strawberries on top,1,0.50
289,Iced soanish latte,1,4.00
290,Iced chocolate,1,3.00
291,Extra noodles in both,1,0.75
292,I,1,0.01
293,2 whippie s,1,3.00
294,Expresso shit,1,1.00
295,Extra nutella on the,1,1.00
296,Non of your binnesssss,1,0.00
297,Tiramisu mistake,1,5.50
298,Caramel frappe,1,4.63
299,Swap chips for masala chips,1,1.00
300,Ex nutella oon crepe,1,1.00
301,Iced spaniah late,1,4.00
302,Add ferrero in aero mint,1,1.00
303,Vanilla syrup,1,0.50
304,Ex nutella sauce on waffle,1,1.00
305,Eggs - ALLERGY,1,0.00
306,San sebastian cheesecake,1,7.50
307,Strawberry and bananan milkshake,1,0.75
308,Add Espresso,1,1.50
309,Pista sauce Large Shot,1,2.00
310,Add mixed nuts on waffle,1,0.75
311,Caramel syrup in bith and regular milk,1,1.00
312,Add Strawberries,1,0.75
313,Extra paratha,1,2.00
314,Ex biscoff on shake,1,0.50
315,Noodles,1,17.00
316,Extra pistachio nuts,1,1.00
317,Add oreo,1,0.50
318,Strawberries with milk choc,1,2.00
319,Sauce milk choc w cheesecake,1,1.00
320,Ex kunafeh,1,1.50
321,Add whippy,1,0.00
322,Whiiped cream,1,1.00
323,Strawberry Sauce,1,0.75
324,Ex kiinder sauce on kunafeh,1,1.00
325,Lotus crumbs,1,0.50
326,Pist a cheesecake,1,7.00
327,Large hot spanish latte,1,4.95
328,Banana on the shake,1,0.75
329,1 extra sausage,1,2.00
330,Nutella sauce for churros,1,1.00
331,Ex milk,1,1.00
332,Strawberries and nutella,1,1.50
333,Ex white choc sauce forbchurros on the side,1,1.00
334,Bp,1,5.50
335,Ex nutella sauce on the dough,1,1.00
336,Swirl,1,5.00
