,Property name,Order ID,Sale number,Order time,Source,Dispatch type,Sales channel name,Sales channel type,Payment method,Is preorder,Refund status,Net sales,Tax on net sales,Tips,Delivery charges,Service charges,DRS charges,Packaging charges,Additional charges,Charges,Revenue,Refunds,Revenue after refunds,Discounts
1,20 - Chocoberry - Cafe Cardiff,ubereats.58F09.urbanpiper.1135084667,58F09,2026-04-22 22:56:00,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,18.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,0.00,18.60,0.00
2,20 - Chocoberry - Cafe Cardiff,ubereats.27062.urbanpiper.1135084524,27062,2026-04-22 22:54:56,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,0.00,19.80,0.00
3,20 - Chocoberry - Cafe Cardiff,70f37db6-7c1d-4872-867f-b2ed20efe889,311,2026-04-22 22:42:24,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,6.50,0.00
4,20 - Chocoberry - Cafe Cardiff,c55621c7-af12-41e1-a111-5fd109037408,310,2026-04-22 22:41:11,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00
5,20 - Chocoberry - Cafe Cardiff,eebf4745-89a5-4286-b5d8-23ca2334a874,309,2026-04-22 22:39:03,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,0.83,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
6,20 - Chocoberry - Cafe Cardiff,ubereats.81800.urbanpiper.1135080940,81800,2026-04-22 22:30:14,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,14.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.25,0.00,14.25,0.00
7,20 - Chocoberry - Cafe Cardiff,ded5ee19-cfcf-4abb-9a1c-465e6a2fb9cc,308,2026-04-22 22:29:56,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00
8,20 - Chocoberry - Cafe Cardiff,ubereats.7A93E.urbanpiper.1135080374,7A93E,2026-04-22 22:26:46,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,29.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.10,0.00,29.10,0.00
9,20 - Chocoberry - Cafe Cardiff,8392dca5-5369-49af-bf66-374d603c2f3a,307,2026-04-22 22:26:16,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,8.50,0.00
10,20 - Chocoberry - Cafe Cardiff,c72b8cfe-7f0f-429c-a397-917dc96a5eb6,306,2026-04-22 22:25:25,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,32.00,0.00
