Order time,Net sales,Tax on net sales,Tips,Charges,Refunds,Revenue,Revenue via Flipdish,Orders
2026-04-22,"1,743.61",50.29,0.00,1.09,0.00,"1,794.99",950.00,111
2026-04-21,"1,888.00",72.05,0.00,1.69,0.00,"1,961.74","1,267.15",137
2026-04-20,"1,964.79",71.81,0.00,5.48,0.00,"2,042.08",864.72,135
2026-04-19,"2,626.43",101.82,0.00,0.00,0.00,"2,727.75","1,636.50",179
2026-04-18,"3,008.34",139.23,0.00,0.00,0.00,"3,147.57","2,144.90",183
2026-04-17,"2,470.39",78.39,0.00,0.00,10.00,"2,558.78","1,413.98",166
2026-04-16,"1,650.87",57.25,0.00,0.00,0.00,"1,708.12",868.80,117
2026-04-15,"2,385.42",98.69,0.00,0.00,0.00,"2,484.11","1,323.95",160
2026-04-14,"1,768.38",65.71,0.00,0.00,0.00,"1,827.09","1,272.00",127
2026-04-13,"2,094.89",88.69,0.00,0.00,0.00,"2,183.58","1,450.82",145
2026-04-12,28.80,0.00,0.00,0.00,0.00,28.80,0.00,3
,"21,629.92",823.93,0.00,8.26,10.00,"22,464.61","13,192.82","1,463"
