Category,Item Name,Price,Description,Options/Variants,Option Prices
Ramadhan Specials,Dessert Share Box,£19.95,A curated selection of our finest desserts perfect for sharing,Milk Alternatives: Soya Milk | Oat Milk | Almond Milk | Coconut Milk,£0.00 | £0.00 | £0.00 | £0.00
Ramadhan Specials,Chocolate Date Gift Box,4 Pcs £14.95 | 6 Pcs £19.95 | £4.95,A luxurious box of chocolate dates — the perfect Ramadhan gift,Size: 4 Pcs | 16 Pcs,£4.95 | £9.95
The Viral Banana Pudding,The Viral Banana Pudding,£5.50,"The viral favourite: creamy vanilla filling layered with bananas and soft vanilla wafers. It's simple, comforting, and impossible to resist",Milk Alternatives: Soya Milk | Oat Milk | Almond Milk | Coconut Milk,£0.00 | £0.00 | £0.00 | £0.00
Viral Desserts,Kanafeh Strawberry Cup,£9.95,"The viral dessert craze: juicy strawberries, crispy kataifi, silky pistachio sauce, and rich chocolate, all crowned with whipped cream and pistachio nuts",,
Viral Desserts,Chocolate Dream Cake,£8.45,"The viral Dubai dessert — crack through the chocolate layer to reveal layers of rich dream cake, smooth ganache, and creamy mousse, all topped with a dusting of cocoa",,
Viral Desserts,Pistachio Kanafeh Chocolate Dream Cake,£9.95,"A twist to the classic chocolate dream cake! Crack through a chocolate layer to uncover crunchy kanafeh, creamy mousse, and rich cake, all crowned with crushed pistachios",,
Viral Desserts,Lazy Cat Cake,£10.95,"Indulge in layers of soft, chocolate-soaked cake, creamy filling, rich ganache, and a crunchy chocolate topping. Perfect for those seeking a no-fuss, decadent treat inspired by Lazy Cat",,
Viral Desserts,Kanafeh Choocolate Bar,£10.00,"A viral sensation that blends rich knafeh pistachio with real, luscious chocolate. Taste the true essence of chocolate in every bite for an unforgettable experience",,
Viral Desserts,Kanafeh Chocolate Brownie,£8.55,"Fudgy chocolate brownie topped with rich milk chocolate, crispy kanafeh, and a sprinkle of pistachios for the ultimate indulgence",,
Chocoberry Signature Desserts,Kanafeh Cookie Dough,£8.95,"Treat yourself to our kanafeh cookie dough — soft, buttery cookie dough filled with rich kanafeh for a perfect balance of sweetness and texture. Every bite is a warm, gooey indulgence",,
Chocoberry Signature Desserts,Kanafeh Crepe,£9.95,"Soft, delicate crepe filled with crispy, crunchy baked kataifi, pistachio sauce, and topped with a marble of smooth milk and pistachio sauce. Finished with a sprinkle of pistachio nuts",,
Chocoberry Signature Desserts,Waffle Bites,£7.95,"Think waffle in a bite! Individual waffle squares light and crispy, beautifully presented with choice of your sauces and toppings. A unique waffle experience not to miss!",,
Chocoberry Signature Desserts,Chocopuffs,£7.95,"One bite wonder — freshly made donut balls, soft and golden, served with your choice of delicious sauces and toppings",,
Round Waffle,Strawberry Dream,£8.95,The combination of warm Nutella and fresh strawberries on a light golden waffle makes it a gorgeous dessert for strawberry lovers,,
Round Waffle,Chocoberry,£8.95,A luxury waffle covered with Nutella and fresh strawberries finished with pistachio nuts and Belgian white chocolate,,
Round Waffle,Chocolate Explosion,£8.95,A scrumptious waffle loaded with Nutella finished with Kinder Chocolate and fudge brownie pieces,,
Round Waffle,Chocorocher,£8.95,The crunch of Ferrero Rocher and roasted nuts combined with warm Nutella on a golden waffle — a dream for hazelnuts fans,,
Round Waffle,Snow White,£8.95,"Waffle with Belgian white chocolate, strawberries, Raffaello and marshmallow",,
Round Waffle,Oreo Overload,£8.95,Waffle covered with warm Nutella topped with crunch Oreo pieces and Oreo fine dust,,
Round Waffle,White Chocolate And Strawberry,£8.95,Waffle covered with Belgian white chocolate and strawberries,,
Round Waffle,Banana Delight,£8.95,A very sophisticated waffle experience with warm Nutella and fresh banana slices,,
Round Waffle,Raspberry Sensation,£8.95,A heavenly taste sensation created with finest Belgian white chocolate fresh raspberries and finished with raspberry sauce,,
