Category,Product Name (Sales),HQ Item Name,Units Per Box,Cost per Box (est VAT inc)
Cakes & Treats,Chocolate Fudge Fixation,Fudge Cake,14,25.00
Cakes & Treats,Hot Fudge Brownie,Brownies,16,22.88
Cakes & Treats,Lava Cake,Lava Cake,9,23.00
Milk Cakes,Milk Cake (All variants),Milk Cake Tray,9,20.00
Cakes & Treats,Cornflake Tart,Cornflake Tart,12,23.00
Cakes & Treats,Jam & Coconut Sponge Cake,Jam & Coconut,16,21.00
Cheesecakes,San Sebastian Cheesecake,San Sebastian,10,25.00
Cheesecakes,Lotus Biscoff Cheesecake,Cheesecakes,16,42.00
Cheesecakes,Pistachio Kanafeh Cheesecake,Pista Cheesecake,12,32.00
Cakes & Treats,Sticky Toffee Pudding,Sticky Toffee,12,23.11
Cakes & Treats,Chocolate Pudding,Chocolate Pudding,12,23.11
Cakes & Treats,Apple Crumble,Apple Crumble,12,23.11
Viral Desserts,Banana Pudding,Banana Pudding,30,60.00
Viral Desserts,Chocolate Dream Cake,Chocolate Dream Cake,24,70.80
Viral Desserts,Lazy Cat Cake,Lazy Cat Cake,20,79.00
Viral Desserts,SMALL - Knafeh Chocolate Bar,Knafeh Chocolate Bar,24,90.00
Viral Desserts,Pistachio Chocolate Kanafeh Dream Cake,Pistachio Chocolate Kanafeh Dream Cake,15,52.50
