--- RECIPE CORRECTION TEMPLATE: Enter Ingredient Details Below ---
Flipdish Item Name,Q1 Units Sold,Base Ingredient,Qty (g/ml/pcs),Sauce/Topping 1,Qty (g/ml),Sauce/Topping 2,Qty (g/ml),Est. Retail Price (),Notes
Chocobar Shakes,2187,,,,,,,,Enter details here...
Chocolate Chip Cookie Dough,1064,,,,,,,,Enter details here...
Water & Juices,1043,,,,,,,,Enter details here...
Premium Shakes,901,,,,,,,,Enter details here...
Lotus Biscoff Milk Cake,762,,,,,,,,Enter details here...
Banana Pudding,726,,,,,,,,Enter details here...
Karak Chai,628,,,,,,,,Enter details here...
Whippy,541,,,,,,,,Enter details here...
Belgian Milk Chocolate (6 Pcs),465,,,,,,,,Enter details here...
Can Drinks,453,,,,,,,,Enter details here...
Whipped Cream (4oz),446,,,,,,,,Enter details here...
Pistachio Milk Cake,413,,,,,,,,Enter details here...
1 Scoop Ice Cream,373,,,,,,,,Enter details here...
Orignal Churros,341,,,,,,,,Enter details here...
Chocolate Dream Cake,314,,,,,,,,Enter details here...
The Original Kanafeh,280,,,,,,,,Enter details here...
Original Milk Cake,271,,,,,,,,Enter details here...
Pistachio Kanafeh Dream Cake,267,,,,,,,,Enter details here...
Assorted Strawberries (6 Pcs),252,,,,,,,,Enter details here...
Lazy Cat Cake,251,,,,,,,,Enter details here...
Hot Chocolate,236,,,,,,,,Enter details here...
Tiramisu,233,,,,,,,,Enter details here...
Salaam Cola,232,,,,,,,,Enter details here...
Bottle Drinks,229,,,,,,,,Enter details here...
Iced Vanilla Oat Matcha,228,,,,,,,,Enter details here...
Creamy White Pasta,226,,,,,,,,Enter details here...
Crunchie Chicken Burger,220,,,,,,,,Enter details here...
Sesame Noodles,209,,,,,,,,Enter details here...
Oreo & Cream Milk Cake,205,,,,,,,,Enter details here...
Extra Chocolate,194,,,,,,,,Enter details here...
Chocorocher Waffle,193,,,,,,,,Enter details here...
White Choc & Strawberry Waffle,193,,,,,,,,Enter details here...
White Chocolate Chip Cookie Dough,192,,,,,,,,Enter details here...
Chocolate Strawberry Cup (12oz),178,,,,,,,,Enter details here...
Nutella Milk Cake,174,,,,,,,,Enter details here...
Dubai's Kanafeh Chocolate Bar (SMALL),166,,,,,,,,Enter details here...
Whippy Vanilla Ice Cream (8oz),142,,,,,,,,Enter details here...
2 Scoops Ice Cream,141,,,,,,,,Enter details here...
San Sebastian Cheesecake (Milk Chocolate),140,,,,,,,,Enter details here...
Speciality Lattes,135,,,,,,,,Enter details here...
Karak  Chai,135,,,,,,,,Enter details here...
Milk Chocolate Lindt Cheesecake,108,,,,,,,,Enter details here...
Chopped Strawberries (4oz),98,,,,,,,,Enter details here...
Nutella Chocolate (6 Pcs),95,,,,,,,,Enter details here...
Kinder Chocolate Dipped Strawberries (6 Pcs),94,,,,,,,,Enter details here...
Belgian White Chocolate (6 Pcs),88,,,,,,,,Enter details here...
Extras,86,,,,,,,,Enter details here...
3 Scoops Ice Cream,66,,,,,,,,Enter details here...
Seasoned Chips,66,,,,,,,,Enter details here...
Pistachio Knafeh Swirl,64,,,,,,,,Enter details here...
