Category,Recipe Name,Type,Ingredient,Quantity,Unit/Notes
Cookie Dough,Milk / White Chocolate Chip Cookie Dough,Eat-In,Cookie dough (from HQ frozen),150g,Eat-In portion
Cookie Dough,Milk / White Chocolate Chip Cookie Dough,Eat-In,Cookie dough (from HQ frozen),200g,T/A portion
Cookie Dough,Milk / White Chocolate Chip Cookie Dough,Eat-In,Milk chocolate sauce,5 lines,Eat-In drizzle
Cookie Dough,Milk / White Chocolate Chip Cookie Dough,Eat-In,Milk chocolate sauce,7-10 lines,T/A drizzle
Cookie Dough,Milk / White Chocolate Chip Cookie Dough,Eat-In,White chocolate sauce (White Choc Chip variant),5 lines,Eat-In drizzle
Cookie Dough,Milk / White Chocolate Chip Cookie Dough,Eat-In,White chocolate sauce (White Choc Chip variant),7-10 lines,T/A drizzle
Cookie Dough,Milk / White Chocolate Chip Cookie Dough,Eat-In,COOKING: Oven temperature,250°C,7 mins until golden brown
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Cookie dough base layer,30g,Eat-In
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Cookie dough base layer,50g,T/A
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Katafi mix (from HQ),1 TBSP,Eat-In filling
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Katafi mix (from HQ),2 TBSP,T/A filling
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Cookie dough top layer,80g,Eat-In
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Cookie dough top layer,120g,T/A
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Pistachio powder,1 TBSP,topping
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Dry baked katafi (from HQ),1 TBSP,topping
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Pistachio sauce,5 lines,Eat-In drizzle
Cookie Dough,Kanafeh Cookie Dough,Eat-In,Pistachio sauce,7-10 lines,T/A drizzle
Cookie Dough,Kanafeh Cookie Dough,Eat-In,COOKING: Oven temperature,250°C,7 mins until golden brown. Shape dough before placing on katafi
Cookie Dough,Oreo-Tella Cookie Dough,Eat-In,Cookie dough,150g,Eat-In / 200g T/A
Cookie Dough,Oreo-Tella Cookie Dough,Eat-In,Crushed Oreo powder,1 TBSP,topping
Cookie Dough,Oreo-Tella Cookie Dough,Eat-In,Milk chocolate sauce,5 lines,Eat-In drizzle / 7-10 lines T/A
Cookie Dough,Royal Ferrero Cookie Dough,Eat-In,Cookie dough,150g,Eat-In / 200g T/A
Cookie Dough,Royal Ferrero Cookie Dough,Eat-In,Mixed nuts topping,1 TBSP,topping
Cookie Dough,Royal Ferrero Cookie Dough,Eat-In,Ferrero Rocher chocolates,2 pcs,cut in half
Cookie Dough,Royal Ferrero Cookie Dough,Eat-In,Nutella sauce,5 lines,Eat-In / 7-10 lines T/A
Cookie Dough,Choco-Caramel Cookie Dough,Eat-In,Cookie dough,150g,Eat-In / 200g T/A
Cookie Dough,Choco-Caramel Cookie Dough,Eat-In,Caramel cube topping,1 TBSP,topping
Cookie Dough,Choco-Caramel Cookie Dough,Eat-In,Milk chocolate sauce,5 lines,Eat-In / 7-10 lines T/A
Cookie Dough,Lotus Biscoff Cookie Dough,Eat-In,Cookie dough,150g,Eat-In / 200g T/A
Cookie Dough,Lotus Biscoff Cookie Dough,Eat-In,Lotus Biscoff dust,1 TBSP,topping
Cookie Dough,Lotus Biscoff Cookie Dough,Eat-In,Milk chocolate sauce,5 lines,Eat-In / 7-10 lines T/A
Cookie Dough,Chocolate Surprise Cookie Dough,Eat-In,Cookie dough,150g,Eat-In / 200g T/A
Cookie Dough,Chocolate Surprise Cookie Dough,Eat-In,Fudge brownie,1 pc,smashed & spread evenly (1.5 pcs for T/A)
