,Property name,Order ID,Sale number,Order time,Source,Dispatch type,Sales channel name,Sales channel type,Payment method,Is preorder,Refund status,Net sales,Tax on net sales,Tips,Delivery charges,Service charges,DRS charges,Packaging charges,Additional charges,Charges,Revenue,Refunds,Revenue after refunds,Discounts
1,20 - Chocoberry - Cafe Cardiff,954c2f8b-32ec-41cf-85a5-50af787e09c6,646,2026-04-02 00:50:00,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,34.00,0.00
2,20 - Chocoberry - Cafe Cardiff,8c1aa6d4-5539-4603-8a25-e194fd4d7423,640,2026-04-02 00:45:51,In store,Collection,Chocoberry Cardiff,POS,Credit,No,,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00
3,20 - Chocoberry - Cafe Cardiff,1dcf5e32-6b30-40ff-8272-bcc66a525c18,645,2026-04-02 00:41:45,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,6.50,0.00
4,20 - Chocoberry - Cafe Cardiff,d07fe500-13a9-451c-9fa6-c96d4b2719bb,644,2026-04-02 00:32:41,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00
5,20 - Chocoberry - Cafe Cardiff,d78c1174-49eb-4ab4-84e2-597400199c28,643,2026-04-02 00:26:47,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00
6,20 - Chocoberry - Cafe Cardiff,9bf50bf5-944c-4e1e-882f-26ea323548c7,642,2026-04-02 00:26:23,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00
7,20 - Chocoberry - Cafe Cardiff,d912b1b5-2e39-471b-9f1c-b6e46ebe1f5b,641,2026-04-02 00:16:55,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00
8,20 - Chocoberry - Cafe Cardiff,802142fc-8d05-40a5-b632-6f4dfe4c35e7,639,2026-04-02 00:08:53,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,8.50,0.00
9,20 - Chocoberry - Cafe Cardiff,563ec9d0-d457-4d1c-9ef6-6391037046f6,638,2026-04-02 00:06:35,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00
10,20 - Chocoberry - Cafe Cardiff,b7258cd1-dc77-4857-93db-b33691b3d3fc,637,2026-04-02 00:02:09,In store,Dine In,Chocoberry Cardiff,POS,Mix,No,,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,7.50,0.00
