Item Name (Flipdish),Units Sold (Q1)
Chocobar Shakes,2187
Chocolate Chip Cookie Dough,1064
Water & Juices,1043
Premium Shakes,901
Lotus Biscoff Milk Cake,762
Banana Pudding,726
Karak Chai,628
Whippy,541
Belgian Milk Chocolate (6 Pcs),465
Can Drinks,453
Whipped Cream (4oz),446
Pistachio Milk Cake,413
1 Scoop Ice Cream,373
Orignal Churros,341
Chocolate Dream Cake,314
The Original Kanafeh,280
Original Milk Cake,271
Pistachio Kanafeh Dream Cake,267
Assorted Strawberries (6 Pcs),252
Lazy Cat Cake,251
Hot Chocolate,236
Tiramisu,233
Salaam Cola,232
Bottle Drinks,229
Iced Vanilla Oat Matcha,228
Creamy White Pasta,226
Crunchie Chicken Burger,220
Sesame Noodles,209
Oreo & Cream Milk Cake,205
Extra Chocolate,194
Chocorocher Waffle,193
White Choc & Strawberry Waffle,193
White Chocolate Chip Cookie Dough,192
Chocolate Strawberry Cup (12oz),178
Nutella Milk Cake,174
Dubai's Kanafeh Chocolate Bar (SMALL),166
Whippy Vanilla Ice Cream (8oz),142
2 Scoops Ice Cream,141
San Sebastian Cheesecake (Milk Chocolate),140
Speciality Lattes,135
Karak  Chai,135
Milk Chocolate Lindt Cheesecake,108
Chopped Strawberries (4oz),98
Nutella Chocolate (6 Pcs),95
Kinder Chocolate Dipped Strawberries (6 Pcs),94
Belgian White Chocolate (6 Pcs),88
Extras,86
3 Scoops Ice Cream,66
Seasoned Chips,66
Pistachio Knafeh Swirl,64
Momos (Dumplings),64
Penne Arrabiata,64
Melty Egg Muffin Breakfast,62
MangoMe Sundae,62
Small Chocolate Shot,53
Mexican Chicken Grilled Burger,50
Americano (Black),48
Hot Custard (8oz),48
Crunch Cake,43
Strawberry & Pistachio,41
Dessert Share Box,40
Mango & Passion Breeze,37
One-Pot Skillet Breakfast,36
Blue Hawaiian Mocktail,35
Peach Frozen,34
Add Extra Fruit,31
Shakshuka Breakfast,30
Mocha,30
Iced Spanish  Latte,30
Iced Strawberry  Matcha,29
Strawberry Cup,29
San Sebastian Cheesecake (Pistachio Sauce),29
Test,24
Golden Bicoffee Swirl,24
French Macaroons,24
San Sebastian Cheesecake (White chocolate),22
Caramel Crush Sundae,19
Spanish Latte,19
Large Chocolate Shot,17
Dubai's Kanafeh Chocolate Bar (LARGE),17
